X,Y
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.230450965711900153e+02
3.000000000000000000e+00,6.621318803824357246e+02
4.000000000000000000e+00,1.016780487174435052e+03
5.000000000000000000e+00,1.386399439606296710e+03
6.000000000000000000e+00,1.770283776492164634e+03
7.000000000000000000e+00,2.167616103904833381e+03
8.000000000000000000e+00,2.577470618018961432e+03
9.000000000000000000e+00,2.998820058128881101e+03
1.000000000000000000e+01,3.430544356942949435e+03
1.100000000000000000e+01,3.871438275218301442e+03
1.200000000000000000e+01,4.320218747918976078e+03
1.300000000000000000e+01,4.775533287051208390e+03
1.400000000000000000e+01,5.235970916195284190e+03
1.500000000000000000e+01,5.700076670056274452e+03
1.600000000000000000e+01,6.166369668908468157e+03
1.700000000000000000e+01,6.633364715496696590e+03
1.800000000000000000e+01,7.099594788241144670e+03
1.900000000000000000e+01,7.563629627850096767e+03
2.000000000000000000e+01,8.024093792035205297e+03
2.100000000000000000e+01,8.479685514385988427e+03
2.200000000000000000e+01,8.929192615981632116e+03
2.300000000000000000e+01,9.371505922869084316e+03
2.400000000000000000e+01,9.805631864597922686e+03
2.500000000000000000e+01,1.023070008199330732e+04
2.600000000000000000e+01,1.064596814416858979e+04
2.700000000000000000e+01,1.105082695559085369e+04
2.800000000000000000e+01,1.144480412031913511e+04
2.900000000000000000e+01,1.182756137780513563e+04
3.000000000000000000e+01,1.219888947919181555e+04
3.100000000000000000e+01,1.255870196121150002e+04
3.200000000000000000e+01,1.290702261075554270e+04
3.300000000000000000e+01,1.324396896593486235e+04
3.400000000000000000e+01,1.356973399947708094e+04
3.500000000000000000e+01,1.388456729216628810e+04
3.600000000000000000e+01,1.418875900684678163e+04
3.700000000000000000e+01,1.448262867967642342e+04
3.800000000000000000e+01,1.476651631778165392e+04
3.900000000000000000e+01,1.504077002416797586e+04
4.000000000000000000e+01,1.530573314228104937e+04
4.100000000000000000e+01,1.556173395547352266e+04
4.200000000000000000e+01,1.580907865886364198e+04
4.300000000000000000e+01,1.604804854978177354e+04
4.400000000000000000e+01,1.627890179260072000e+04
4.500000000000000000e+01,1.650187733912035401e+04
4.600000000000000000e+01,1.671719367474927640e+04
4.700000000000000000e+01,1.692504042015144660e+04
4.800000000000000000e+01,1.712556877898625680e+04
4.900000000000000000e+01,1.731888495089191565e+04
5.000000000000000000e+01,1.750504771346189955e+04
5.100000000000000000e+01,1.768407097982588675e+04
5.200000000000000000e+01,1.785592875262325833e+04
5.300000000000000000e+01,1.802055648414057941e+04
5.400000000000000000e+01,1.817785196703633483e+04
5.500000000000000000e+01,1.832767908518836339e+04
5.600000000000000000e+01,1.846987543050776003e+04
5.700000000000000000e+01,1.860426484215731398e+04
5.800000000000000000e+01,1.873067533996832572e+04
5.900000000000000000e+01,1.884895832287445592e+04
6.000000000000000000e+01,1.895900000000000000e+04
6.100000000000000000e+01,1.887688894284135313e+04
6.200000000000000000e+01,1.894014241735506948e+04
6.300000000000000000e+01,1.895900000000000000e+04
6.400000000000000000e+01,1.892930694609898273e+04
6.500000000000000000e+01,1.884687934745196253e+04
6.600000000000000000e+01,1.870750792672224270e+04
6.700000000000000000e+01,1.850700733739976567e+04
6.800000000000000000e+01,1.824131487029161508e+04
6.900000000000000000e+01,1.790664270542556915e+04
7.000000000000000000e+01,1.749968802243224491e+04
7.100000000000000000e+01,1.701790534746540288e+04
7.200000000000000000e+01,1.645984542079648236e+04
7.300000000000000000e+01,1.582556456202461231e+04
7.400000000000000000e+01,1.511710793020056371e+04
7.500000000000000000e+01,1.433906916002442267e+04
