X,Y
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.848959427842181924e+01
3.000000000000000000e+00,9.106254288206964986e+01
4.000000000000000000e+00,1.889552384503896292e+02
5.000000000000000000e+00,3.213500542224369383e+02
6.000000000000000000e+00,4.852748892216359877e+02
7.000000000000000000e+00,6.757060367343896132e+02
8.000000000000000000e+00,8.859861547903065002e+02
9.000000000000000000e+00,1.108514556641779109e+03
1.000000000000000000e+01,1.335440131029665508e+03
1.100000000000000000e+01,1.559255568243570679e+03
1.200000000000000000e+01,1.773297577096074292e+03
1.300000000000000000e+01,1.972068845660235411e+03
1.400000000000000000e+01,2.151479012457450608e+03
1.500000000000000000e+01,2.308886435809366503e+03
1.600000000000000000e+01,2.442993512781650679e+03
1.700000000000000000e+01,2.553708185701296316e+03
1.800000000000000000e+01,2.641943989280423466e+03
1.900000000000000000e+01,2.709370467406627540e+03
2.000000000000000000e+01,2.758051581773287126e+03
2.100000000000000000e+01,2.790309336122659261e+03
2.200000000000000000e+01,2.808638824876996750e+03
2.300000000000000000e+01,2.815000000000000000e+03
2.400000000000000000e+01,2.810376905976101170e+03
2.500000000000000000e+01,2.795067945497538858e+03
2.600000000000000000e+01,2.769271049823149951e+03
2.700000000000000000e+01,2.815000000000000000e+03
2.800000000000000000e+01,2.610444010674508718e+03
2.900000000000000000e+01,2.166663823366733141e+03
3.000000000000000000e+01,1.603038335730162316e+03
3.100000000000000000e+01,1.072251010027512393e+03
3.200000000000000000e+01,6.587679389655432942e+02
3.300000000000000000e+01,3.761327758329082940e+02
3.400000000000000000e+01,2.055432900057370489e+02
3.500000000000000000e+01,1.171013194117606702e+02
3.600000000000000000e+01,8.209879233801085263e+01
3.700000000000000000e+01,7.804020603573248138e+01
3.800000000000000000e+01,9.025078157121392053e+01
3.900000000000000000e+01,1.088188604074630632e+02
4.000000000000000000e+01,1.266360811861609221e+02
4.100000000000000000e+01,1.364532026020207809e+02
4.200000000000000000e+01,1.337853190209296201e+02
4.300000000000000000e+01,1.247945798602485468e+02
4.400000000000000000e+01,1.149012340487937820e+02
4.500000000000000000e+01,1.065496136971996890e+02
4.600000000000000000e+01,1.006246703204871125e+02
4.700000000000000000e+01,9.695435603266450642e+01
4.800000000000000000e+01,9.501346551908017091e+01
4.900000000000000000e+01,9.458377052675238872e+01
5.000000000000000000e+01,9.523209023851781296e+01
5.100000000000000000e+01,9.624977465063984994e+01
5.200000000000000000e+01,9.707914588155736624e+01
5.300000000000000000e+01,9.724710659622132880e+01
5.400000000000000000e+01,9.685522979874646410e+01
5.500000000000000000e+01,9.610866653074927513e+01
5.600000000000000000e+01,9.544762761766646975e+01
5.700000000000000000e+01,9.485867982212559468e+01
5.800000000000000000e+01,9.395050327112541311e+01
5.900000000000000000e+01,9.282014570001221898e+01
6.000000000000000000e+01,9.173211361865915592e+01
6.100000000000000000e+01,9.097629256148016452e+01
