X,Y
1.000000000000000000e+00,2.139592912701755836e+02
2.000000000000000000e+00,2.184626694681082597e+02
3.000000000000000000e+00,2.260064805063994413e+02
4.000000000000000000e+00,2.368354752702302051e+02
5.000000000000000000e+00,2.511441659505305779e+02
6.000000000000000000e+00,2.690324138738172906e+02
7.000000000000000000e+00,2.904593772134804226e+02
8.000000000000000000e+00,3.152067706988611917e+02
9.000000000000000000e+00,3.428652304571379545e+02
1.000000000000000000e+01,3.728652892440160258e+02
1.100000000000000000e+01,4.045400031856302689e+02
1.200000000000000000e+01,4.371691526146735214e+02
1.300000000000000000e+01,4.700093057034472395e+02
1.400000000000000000e+01,5.022819984522689651e+02
1.500000000000000000e+01,5.331166643338681297e+02
1.600000000000000000e+01,5.615496490603756001e+02
1.700000000000000000e+01,5.866064278802673471e+02
1.800000000000000000e+01,6.074756642195376344e+02
1.900000000000000000e+01,1.358227624982237330e+03
2.000000000000000000e+01,1.321624340529000165e+03
2.100000000000000000e+01,1.286007488988863315e+03
2.200000000000000000e+01,1.251350486684799534e+03
2.300000000000000000e+01,1.217627466351282465e+03
2.400000000000000000e+01,1.184813257827498774e+03
2.500000000000000000e+01,1.152883369270863341e+03
2.600000000000000000e+01,1.121813968876816944e+03
2.700000000000000000e+01,1.091581867091263803e+03
2.800000000000000000e+01,1.062164499302370587e+03
2.900000000000000000e+01,1.033539908998809778e+03
3.000000000000000000e+01,1.005686731381876029e+03
3.100000000000000000e+01,9.785841774192450657e+02
3.200000000000000000e+01,9.522120183284725954e+02
3.300000000000000000e+01,9.265505704786514798e+02
3.400000000000000000e+01,9.015806806989594406e+02
3.500000000000000000e+01,8.772837119831310702e+02
3.600000000000000000e+01,8.536415295791837252e+02
3.700000000000000000e+01,8.306364874540156507e+02
3.800000000000000000e+01,8.082514151227745742e+02
3.900000000000000000e+01,7.864696048331647944e+02
4.000000000000000000e+01,7.652747990951282873e+02
4.100000000000000000e+01,7.446511785465920639e+02
4.200000000000000000e+01,7.245833501462269624e+02
4.300000000000000000e+01,7.050563356843991869e+02
4.400000000000000000e+01,6.860555606037491998e+02
4.500000000000000000e+01,6.675668431210425524e+02
4.600000000000000000e+01,6.495763836421841688e+02
4.700000000000000000e+01,6.320707544624867751e+02
4.800000000000000000e+01,6.150368897445127914e+02
4.900000000000000000e+01,5.984620757660037498e+02
5.000000000000000000e+01,5.823339414306236677e+02
5.100000000000000000e+01,5.666404490344292526e+02
5.200000000000000000e+01,5.513698852811786537e+02
5.300000000000000000e+01,5.365108525397708945e+02
5.400000000000000000e+01,5.220522603372902495e+02
5.500000000000000000e+01,5.079833170813089396e+02
5.600000000000000000e+01,4.942935220052669365e+02
5.700000000000000000e+01,4.809726573309176274e+02
5.800000000000000000e+01,4.680107806419913459e+02
5.900000000000000000e+01,4.553982174633823661e+02
6.000000000000000000e+01,4.431255540403223563e+02
6.100000000000000000e+01,4.311836303121486935e+02
6.200000000000000000e+01,4.195635330754271308e+02
6.300000000000000000e+01,4.082565893313209244e+02
6.400000000000000000e+01,3.972543598122459230e+02
6.500000000000000000e+01,3.865486326829759491e+02
6.600000000000000000e+01,3.761314174115004789e+02
6.700000000000000000e+01,3.659949388050573589e+02
6.800000000000000000e+01,3.561316312068910861e+02
6.900000000000000000e+01,3.465341328494035338e+02
7.000000000000000000e+01,3.371952803594842294e+02
7.100000000000000000e+01,3.281081034119171704e+02
7.200000000000000000e+01,3.192658195268757026e+02
7.300000000000000000e+01,3.106618290076202697e+02
7.400000000000000000e+01,3.022897100146218463e+02
7.500000000000000000e+01,2.941432137724352742e+02
7.600000000000000000e+01,2.862162599057425609e+02
7.700000000000000000e+01,2.785029319010876065e+02
7.800000000000000000e+01,2.709974726909132983e+02
7.900000000000000000e+01,2.636942803566066118e+02
8.000000000000000000e+01,2.565879039473425109e+02
8.100000000000000000e+01,2.496730394116081300e+02
