X,Y
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,6.945120315168493619e+01
3.000000000000000000e+00,1.481709533557631175e+02
4.000000000000000000e+00,2.361153232396820556e+02
5.000000000000000000e+00,3.330937870472403119e+02
6.000000000000000000e+00,4.387574516244014831e+02
7.000000000000000000e+00,5.525922889918288092e+02
8.000000000000000000e+00,6.739182333627296657e+02
9.000000000000000000e+00,8.018952286485313152e+02
1.000000000000000000e+01,9.355375523329787484e+02
1.100000000000000000e+01,1.073738000324727636e+03
1.200000000000000000e+01,1.215303627403470045e+03
1.300000000000000000e+01,1.359000649431413194e+03
1.400000000000000000e+01,1.503596159956263818e+03
1.500000000000000000e+01,1.647884320636303300e+03
1.600000000000000000e+01,1.790696887716486344e+03
1.700000000000000000e+01,1.930913798662455292e+03
1.800000000000000000e+01,2.067484609182632994e+03
1.900000000000000000e+01,2.199448558877162213e+03
2.000000000000000000e+01,2.325922682186705970e+03
2.100000000000000000e+01,2.446086270370550665e+03
2.200000000000000000e+01,2.559183710502618851e+03
2.300000000000000000e+01,2.664538990316258605e+03
2.400000000000000000e+01,2.761571883526380134e+03
2.500000000000000000e+01,2.849824282500546360e+03
2.600000000000000000e+01,2.929001325166910647e+03
2.700000000000000000e+01,2.999000000000000000e+03
2.800000000000000000e+01,2.999000000000000000e+03
2.900000000000000000e+01,2.971743563162340251e+03
3.000000000000000000e+01,2.942216100371638277e+03
3.100000000000000000e+01,2.910671503789526923e+03
3.200000000000000000e+01,2.877341089012311841e+03
3.300000000000000000e+01,2.842466976170646831e+03
3.400000000000000000e+01,2.806244365018626922e+03
3.500000000000000000e+01,2.768769938514041769e+03
3.600000000000000000e+01,2.730022854844704398e+03
3.700000000000000000e+01,2.689888845076909547e+03
3.800000000000000000e+01,2.648219329486333663e+03
3.900000000000000000e+01,2.604862850164376596e+03
4.000000000000000000e+01,2.559778311095388290e+03
4.100000000000000000e+01,2.512921084956553841e+03
4.200000000000000000e+01,2.464174406071515932e+03
4.300000000000000000e+01,2.413432905156045763e+03
4.400000000000000000e+01,2.360629536130158613e+03
4.500000000000000000e+01,2.305702480768498845e+03
4.600000000000000000e+01,2.248544654086500032e+03
4.700000000000000000e+01,2.189055166920164083e+03
4.800000000000000000e+01,2.127360332731156632e+03
4.900000000000000000e+01,2.063638008573375828e+03
5.000000000000000000e+01,1.998029231322872192e+03
5.100000000000000000e+01,1.930637871289139412e+03
5.200000000000000000e+01,1.861576374920758781e+03
5.300000000000000000e+01,1.791061223021454452e+03
5.400000000000000000e+01,1.719635730451524978e+03
5.500000000000000000e+01,1.647847130229127288e+03
5.600000000000000000e+01,1.576173222628129679e+03
5.700000000000000000e+01,1.505023834497495272e+03
5.800000000000000000e+01,1.434750660218634266e+03
5.900000000000000000e+01,1.365657062765998489e+03
6.000000000000000000e+01,1.297995094462584575e+03
6.100000000000000000e+01,1.231955398640196336e+03
6.200000000000000000e+01,1.167662451074508454e+03
6.300000000000000000e+01,1.105188870475725480e+03
6.400000000000000000e+01,1.044628834362911903e+03
6.500000000000000000e+01,9.860612719599818092e+02
6.600000000000000000e+01,9.295224909138103158e+02
6.700000000000000000e+01,8.750344996108542546e+02
6.800000000000000000e+01,8.226331377621079355e+02
6.900000000000000000e+01,7.723264278631430670e+02
7.000000000000000000e+01,7.240776389606313614e+02
7.100000000000000000e+01,6.778341756829034921e+02
7.200000000000000000e+01,6.335798816699298186e+02
7.300000000000000000e+01,5.913053447910820069e+02
7.400000000000000000e+01,5.510556625869454592e+02
7.500000000000000000e+01,5.128824806259929119e+02
7.600000000000000000e+01,4.768186917329708763e+02
7.700000000000000000e+01,4.428720743172110588e+02
7.800000000000000000e+01,4.110346083165988489e+02
7.900000000000000000e+01,3.812780868106811454e+02
8.000000000000000000e+01,3.535617182785463228e+02
8.100000000000000000e+01,3.278253499158661270e+02
8.200000000000000000e+01,3.039930346630587792e+02
8.300000000000000000e+01,2.819905925351551446e+02
8.400000000000000000e+01,2.617421630494567921e+02
8.500000000000000000e+01,2.431645497291692664e+02
8.600000000000000000e+01,2.261837914482552492e+02
8.700000000000000000e+01,2.107193305395605591e+02
8.800000000000000000e+01,1.966827919225667642e+02
8.900000000000000000e+01,1.839791830477575729e+02
9.000000000000000000e+01,1.725181006158225898e+02
9.100000000000000000e+01,1.622026072300308215e+02
9.200000000000000000e+01,1.529259406915891759e+02
9.300000000000000000e+01,1.445720751497349283e+02
9.400000000000000000e+01,1.370250961437363628e+02
9.500000000000000000e+01,1.301971225198880973e+02
9.600000000000000000e+01,1.240071874682493416e+02
9.700000000000000000e+01,1.183794147315446850e+02
9.800000000000000000e+01,1.132397979396310603e+02
9.900000000000000000e+01,1.085199894446045334e+02
1.000000000000000000e+02,1.041648038065485053e+02
1.010000000000000000e+02,1.001305735213361885e+02
1.020000000000000000e+02,9.640763634668346072e+01
1.030000000000000000e+02,9.299017508149633215e+01
1.040000000000000000e+02,8.986945607011878678e+01
1.050000000000000000e+02,8.704458151891711282e+01
1.060000000000000000e+02,8.452050280165211404e+01
1.070000000000000000e+02,8.229917094524650167e+01
1.080000000000000000e+02,8.037775737090635175e+01
1.090000000000000000e+02,7.874864797733557964e+01
1.100000000000000000e+02,7.739951064096288746e+01
1.110000000000000000e+02,7.631338810089087588e+01
1.120000000000000000e+02,7.546876853146228825e+01
1.130000000000000000e+02,7.483963495714056080e+01
1.140000000000000000e+02,7.439549493540974368e+01
1.150000000000000000e+02,7.410294660859501903e+01
1.160000000000000000e+02,7.393529391524901939e+01
1.170000000000000000e+02,7.388274164376335307e+01
1.180000000000000000e+02,7.394030081852774572e+01
1.190000000000000000e+02,7.411580309072174089e+01
1.200000000000000000e+02,7.441693404103429543e+01
1.210000000000000000e+02,7.484690597297249326e+01
1.220000000000000000e+02,7.540444162183162291e+01
1.230000000000000000e+02,7.608447399951489842e+01
1.240000000000000000e+02,7.688029188200491149e+01
1.250000000000000000e+02,7.778130385373589206e+01
1.260000000000000000e+02,7.877224866482366394e+01
1.270000000000000000e+02,7.983312307136009167e+01
1.280000000000000000e+02,8.093919659313040427e+01
1.290000000000000000e+02,8.206121165485356528e+01
1.300000000000000000e+02,8.316499362790575844e+01
1.310000000000000000e+02,8.421124953959846948e+01
1.320000000000000000e+02,8.515546028379921495e+01
1.330000000000000000e+02,8.595209478624488497e+01
1.340000000000000000e+02,8.656747695570611256e+01
1.350000000000000000e+02,8.697693327896088533e+01
1.360000000000000000e+02,8.719101119876710015e+01
1.370000000000000000e+02,8.722485851725129180e+01
1.380000000000000000e+02,8.709171485988412087e+01
1.390000000000000000e+02,8.681399779664629079e+01
1.400000000000000000e+02,8.641225665775145615e+01
1.410000000000000000e+02,8.590151798382126458e+01
1.420000000000000000e+02,8.529161689112257250e+01
1.430000000000000000e+02,8.458811349759042741e+01
1.440000000000000000e+02,8.379146287011535321e+01
1.450000000000000000e+02,8.289793492897157989e+01
1.460000000000000000e+02,8.190612274692469441e+01
1.470000000000000000e+02,8.082564524950150542e+01
1.480000000000000000e+02,7.967692849202462924e+01
1.490000000000000000e+02,7.847885834449462550e+01
1.500000000000000000e+02,7.724649182691288729e+01
1.510000000000000000e+02,7.599610273655706294e+01
1.520000000000000000e+02,7.476247271419029516e+01
1.530000000000000000e+02,7.358151604003685975e+01
1.540000000000000000e+02,7.248456355784109917e+01
1.550000000000000000e+02,7.149846791884756669e+01
1.560000000000000000e+02,7.064569922182968753e+01
1.570000000000000000e+02,6.994442941669186098e+01
1.580000000000000000e+02,6.940860411000915065e+01
1.590000000000000000e+02,6.904800067426859300e+01
1.600000000000000000e+02,6.886836897162898197e+01
1.610000000000000000e+02,6.887175136576037460e+01
1.620000000000000000e+02,6.905620469734670053e+01
1.630000000000000000e+02,6.941570108762896041e+01
1.640000000000000000e+02,6.994273348848827254e+01
1.650000000000000000e+02,7.063615522405774527e+01
1.660000000000000000e+02,7.149327543869827650e+01
1.670000000000000000e+02,7.250718903036693064e+01
1.680000000000000000e+02,7.366933822869756909e+01
1.690000000000000000e+02,7.497730917173598186e+01
1.700000000000000000e+02,7.642688542345095470e+01
1.710000000000000000e+02,7.800933705229785176e+01
1.720000000000000000e+02,7.971180518532705150e+01
1.730000000000000000e+02,8.151864574686335629e+01
1.740000000000000000e+02,8.340984818557140557e+01
1.750000000000000000e+02,8.536041499081449047e+01
1.760000000000000000e+02,8.734021685439761029e+01
1.770000000000000000e+02,8.931709372574410111e+01
1.780000000000000000e+02,9.126651034011391062e+01
1.790000000000000000e+02,9.316178783740775771e+01
1.800000000000000000e+02,9.497055334002990890e+01
1.810000000000000000e+02,9.665453933483711069e+01
1.820000000000000000e+02,9.817914665230343019e+01
1.830000000000000000e+02,9.954536530391793292e+01
1.840000000000000000e+02,1.007703920085715197e+02
1.850000000000000000e+02,1.018724515477611163e+02
1.860000000000000000e+02,1.028644689446252443e+02
1.870000000000000000e+02,1.037528937158162847e+02
1.880000000000000000e+02,1.045376423130384751e+02
1.890000000000000000e+02,1.052164128191681556e+02
1.900000000000000000e+02,1.058000315886292952e+02
1.910000000000000000e+02,1.063061533145825734e+02
1.920000000000000000e+02,1.067480189291468236e+02
1.930000000000000000e+02,1.071321525746345316e+02
1.940000000000000000e+02,1.074629540388016551e+02
1.950000000000000000e+02,1.077565230432833232e+02
1.960000000000000000e+02,1.080268083961818490e+02
1.970000000000000000e+02,1.082809876578378123e+02
1.980000000000000000e+02,1.085194565611828921e+02
1.990000000000000000e+02,1.087358130807268140e+02
2.000000000000000000e+02,1.089168361097846542e+02
2.010000000000000000e+02,1.090456165187169546e+02
2.020000000000000000e+02,1.091110023734175627e+02
2.030000000000000000e+02,1.090981074285516428e+02
2.040000000000000000e+02,1.089851355373564274e+02
2.050000000000000000e+02,1.087433609597193822e+02
2.060000000000000000e+02,1.083440062316685299e+02
2.070000000000000000e+02,1.077822280005614317e+02
2.080000000000000000e+02,1.070696568292842414e+02
2.090000000000000000e+02,1.062303152944616045e+02
2.100000000000000000e+02,1.052958286942523216e+02
2.110000000000000000e+02,1.042940444134240323e+02
2.120000000000000000e+02,1.032462035629062314e+02
2.130000000000000000e+02,1.021669766576668508e+02
2.140000000000000000e+02,1.010645446382489183e+02
2.150000000000000000e+02,9.994067579616759645e+01
2.160000000000000000e+02,9.879181822809913172e+01
2.170000000000000000e+02,9.761227758073225402e+01
2.180000000000000000e+02,9.639404231956052627e+01
2.190000000000000000e+02,9.513647021643004109e+01
2.200000000000000000e+02,9.384660877907103327e+01
2.210000000000000000e+02,9.252830404645614237e+01
2.220000000000000000e+02,9.118238409400551348e+01
2.230000000000000000e+02,8.981534271232487754e+01
2.240000000000000000e+02,8.843204788785135406e+01
2.250000000000000000e+02,8.703661150342465191e+01
2.260000000000000000e+02,8.562883857192976222e+01
2.270000000000000000e+02,8.420310218106359912e+01
2.280000000000000000e+02,8.274842849351765040e+01
2.290000000000000000e+02,8.125314392622729542e+01
2.300000000000000000e+02,7.971865651741578063e+01
2.310000000000000000e+02,7.814585411178087782e+01
2.320000000000000000e+02,7.653068613603923609e+01
2.330000000000000000e+02,7.486440640301981375e+01
2.340000000000000000e+02,7.313352274347558080e+01
2.350000000000000000e+02,7.131984260790098062e+01
2.360000000000000000e+02,6.940056696232974787e+01
2.370000000000000000e+02,6.734838515828596428e+01
2.380000000000000000e+02,6.513157232857381018e+01
2.390000000000000000e+02,6.272788648408052126e+01
2.400000000000000000e+02,6.016607838776268835e+01
2.410000000000000000e+02,5.748468417615897863e+01
2.420000000000000000e+02,5.471843062536650137e+01
2.430000000000000000e+02,5.189843983308438879e+01
2.440000000000000000e+02,4.905243595021077141e+01
2.450000000000000000e+02,4.620495216041678077e+01
2.460000000000000000e+02,4.337753632429269146e+01
2.470000000000000000e+02,4.058895390793995972e+01
2.480000000000000000e+02,3.785538700507907350e+01
2.490000000000000000e+02,3.519062843626139880e+01
