X,Y
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,8.539416226616040717e+01
3.000000000000000000e+00,3.313086482395066241e+02
4.000000000000000000e+00,7.251925428819657782e+02
5.000000000000000000e+00,1.232133327411314667e+03
6.000000000000000000e+00,1.813586502189534713e+03
7.000000000000000000e+00,2.438812971428801120e+03
8.000000000000000000e+00,3.070376612906158243e+03
9.000000000000000000e+00,3.654183006350267988e+03
1.000000000000000000e+01,4.120948627059965474e+03
1.100000000000000000e+01,4.410730831625357496e+03
1.200000000000000000e+01,4.508000000000000000e+03
1.300000000000000000e+01,4.508000000000000000e+03
1.400000000000000000e+01,4.289534388463275718e+03
1.500000000000000000e+01,3.743052975158389472e+03
1.600000000000000000e+01,2.945920491725468310e+03
1.700000000000000000e+01,2.054674874721023571e+03
1.800000000000000000e+01,1.274182952455096711e+03
1.900000000000000000e+01,6.972030286336602103e+02
2.000000000000000000e+01,3.233416705231492756e+02
2.100000000000000000e+01,1.131882559172965728e+02
2.200000000000000000e+01,1.914541036498600235e+01
2.300000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,2.529155130237920801e+01
2.500000000000000000e+01,7.383514139966294465e+01
2.600000000000000000e+01,1.291175595459466479e+02
2.700000000000000000e+01,1.768251029036941873e+02
2.800000000000000000e+01,2.140120124983798746e+02
2.900000000000000000e+01,2.512758157399832157e+02
3.000000000000000000e+01,3.098613411350413003e+02
3.100000000000000000e+01,4.087185946818755724e+02
3.200000000000000000e+01,5.537690483301962558e+02
3.300000000000000000e+01,7.372482630439124023e+02
3.400000000000000000e+01,9.315478333880628270e+02
3.500000000000000000e+01,1.088993838588433846e+03
3.600000000000000000e+01,1.175020894439611311e+03
3.700000000000000000e+01,1.135893188624225331e+03
3.800000000000000000e+01,1.031626600446348903e+03
3.900000000000000000e+01,8.820268103708560830e+02
4.000000000000000000e+01,6.869133453723737830e+02
4.100000000000000000e+01,5.062776290210854881e+02
4.200000000000000000e+01,3.752451940361527249e+02
4.300000000000000000e+01,2.965028415552249044e+02
4.400000000000000000e+01,2.572868015353205351e+02
4.500000000000000000e+01,2.403121163850207154e+02
4.600000000000000000e+01,2.372900993678482564e+02
4.700000000000000000e+01,2.456759650416497038e+02
4.800000000000000000e+01,2.672769527554075353e+02
4.900000000000000000e+01,2.924367549481889910e+02
5.000000000000000000e+01,3.049015195569100456e+02
5.100000000000000000e+01,3.006246492591968718e+02
5.200000000000000000e+01,2.736394075926698974e+02
5.300000000000000000e+01,2.314613618080308868e+02
5.400000000000000000e+01,1.906014056654917397e+02
5.500000000000000000e+01,1.580613908802340006e+02
5.600000000000000000e+01,1.317835508262056123e+02
5.700000000000000000e+01,1.142900607535151778e+02
5.800000000000000000e+01,1.119587598830090514e+02
5.900000000000000000e+01,1.280873548601408061e+02
6.000000000000000000e+01,1.615452412658309527e+02
6.100000000000000000e+01,2.075204159752127282e+02
6.200000000000000000e+01,2.601568919935256190e+02
6.300000000000000000e+01,3.013713378689280376e+02
6.400000000000000000e+01,3.047316806535170031e+02
6.500000000000000000e+01,2.739030472830884264e+02
6.600000000000000000e+01,2.301536822591030784e+02
6.700000000000000000e+01,1.881023018268955695e+02
6.800000000000000000e+01,1.561596201064691911e+02
6.900000000000000000e+01,1.351878954648989861e+02
7.000000000000000000e+01,1.249803466236841416e+02
7.100000000000000000e+01,1.293197517154722505e+02
7.200000000000000000e+01,1.486161494409261934e+02
7.300000000000000000e+01,1.781444116106594890e+02
7.400000000000000000e+01,2.089455538569229134e+02
7.500000000000000000e+01,2.364764542792878501e+02
7.600000000000000000e+01,2.461473304524195100e+02
7.700000000000000000e+01,2.223654727862429468e+02
7.800000000000000000e+01,1.825815003018408618e+02
7.900000000000000000e+01,1.454238235389289002e+02
8.000000000000000000e+01,1.181685444629113846e+02
8.100000000000000000e+01,9.956117121626068922e+01
8.200000000000000000e+01,8.536228614100247114e+01
8.300000000000000000e+01,7.614943985257076520e+01
8.400000000000000000e+01,7.129083034920240891e+01
8.500000000000000000e+01,6.844653203351978732e+01
8.600000000000000000e+01,6.726398305463942506e+01
8.700000000000000000e+01,6.605448045172526861e+01
8.800000000000000000e+01,6.237738462955085339e+01
8.900000000000000000e+01,5.851651808401820887e+01
9.000000000000000000e+01,5.716760938784169355e+01
9.100000000000000000e+01,5.975684525929998614e+01
9.200000000000000000e+01,6.646654337105989896e+01
9.300000000000000000e+01,7.607894213082924750e+01
9.400000000000000000e+01,8.676106738336609681e+01
9.500000000000000000e+01,1.000064397033781063e+02
9.600000000000000000e+01,1.155865905817247352e+02
9.700000000000000000e+01,1.298725208839287859e+02
9.800000000000000000e+01,1.405338704227724804e+02
9.900000000000000000e+01,1.465493592192405288e+02
1.000000000000000000e+02,1.535838830179828562e+02
1.010000000000000000e+02,1.696059088864674891e+02
1.020000000000000000e+02,1.949980216865530736e+02
1.030000000000000000e+02,2.218529271136922603e+02
1.040000000000000000e+02,2.416315143572743978e+02
1.050000000000000000e+02,2.431109041657671526e+02
1.060000000000000000e+02,2.224989059290896876e+02
1.070000000000000000e+02,2.019703960827862375e+02
1.080000000000000000e+02,1.971156406673796369e+02
1.090000000000000000e+02,2.097589960182730238e+02
1.100000000000000000e+02,2.300282605692370339e+02
1.110000000000000000e+02,2.423023535965858173e+02
1.120000000000000000e+02,2.391044196042417695e+02
1.130000000000000000e+02,2.319363743298626730e+02
1.140000000000000000e+02,2.261874225064391624e+02
1.150000000000000000e+02,2.163559416903709689e+02
1.160000000000000000e+02,2.019486469884656401e+02
1.170000000000000000e+02,1.759903760384908082e+02
1.180000000000000000e+02,1.397898400638538590e+02
1.190000000000000000e+02,1.052518773828379466e+02
1.200000000000000000e+02,7.962266953521124435e+01
1.210000000000000000e+02,6.473620441939551995e+01
1.220000000000000000e+02,5.946948938408911545e+01
1.230000000000000000e+02,6.097824079126066721e+01
1.240000000000000000e+02,6.490526657726283588e+01
1.250000000000000000e+02,6.630509880667800360e+01
1.260000000000000000e+02,6.408144395344338307e+01
1.270000000000000000e+02,5.942751972176923658e+01
1.280000000000000000e+02,5.483200037876110855e+01
1.290000000000000000e+02,5.132157835189876494e+01
1.300000000000000000e+02,4.892113213948510264e+01
1.310000000000000000e+02,4.937367090354543109e+01
1.320000000000000000e+02,5.420960879386716869e+01
1.330000000000000000e+02,6.400255959313247445e+01
1.340000000000000000e+02,7.796557878544723508e+01
1.350000000000000000e+02,9.394863353579603427e+01
1.360000000000000000e+02,1.098550670953870565e+02
1.370000000000000000e+02,1.219605130007407610e+02
1.380000000000000000e+02,1.309338927045408525e+02
1.390000000000000000e+02,1.318893863183543544e+02
1.400000000000000000e+02,1.174111884455313657e+02
1.410000000000000000e+02,9.838804025006784570e+01
1.420000000000000000e+02,8.448045332197270341e+01
1.430000000000000000e+02,7.971691025221508653e+01
1.440000000000000000e+02,8.425578888867799776e+01
1.450000000000000000e+02,9.491094240161044127e+01
1.460000000000000000e+02,1.058683671999553013e+02
1.470000000000000000e+02,1.111311684475282249e+02
1.480000000000000000e+02,1.042241828719787833e+02
1.490000000000000000e+02,9.213820087313447971e+01
1.500000000000000000e+02,8.037111481060080109e+01
1.510000000000000000e+02,7.026490331479590168e+01
1.520000000000000000e+02,6.456149919468350618e+01
1.530000000000000000e+02,6.574863583740007300e+01
1.540000000000000000e+02,7.434944645234358518e+01
1.550000000000000000e+02,8.850449641255157474e+01
1.560000000000000000e+02,1.030636307957789910e+02
1.570000000000000000e+02,1.098124205072410433e+02
1.580000000000000000e+02,1.049811441966790397e+02
1.590000000000000000e+02,9.533633406829733303e+01
1.600000000000000000e+02,8.623377084385265334e+01
1.610000000000000000e+02,7.920812924174852299e+01
1.620000000000000000e+02,7.753373222646952456e+01
1.630000000000000000e+02,8.217567803373211177e+01
1.640000000000000000e+02,9.042390396642220196e+01
1.650000000000000000e+02,9.523378971067710097e+01
1.660000000000000000e+02,8.920130903776869502e+01
1.670000000000000000e+02,7.961711430452049854e+01
1.680000000000000000e+02,7.324276161248766925e+01
1.690000000000000000e+02,7.255897136925102586e+01
1.700000000000000000e+02,7.678892027084738459e+01
1.710000000000000000e+02,8.179183395990013139e+01
1.720000000000000000e+02,8.196630081643172616e+01
1.730000000000000000e+02,7.740918655746011723e+01
1.740000000000000000e+02,6.807969510426630677e+01
1.750000000000000000e+02,5.892910233828923339e+01
1.760000000000000000e+02,5.373822945461741796e+01
1.770000000000000000e+02,5.390397536141703938e+01
1.780000000000000000e+02,5.921198425577187407e+01
1.790000000000000000e+02,6.819223953219592715e+01
1.800000000000000000e+02,7.711638400536936899e+01
1.810000000000000000e+02,8.031577807142716097e+01
1.820000000000000000e+02,7.618528278123166331e+01
1.830000000000000000e+02,6.927318610006278732e+01
1.840000000000000000e+02,6.187162909933933008e+01
1.850000000000000000e+02,5.380487679344786045e+01
1.860000000000000000e+02,4.726316066199164823e+01
1.870000000000000000e+02,4.356731407163200487e+01
1.880000000000000000e+02,4.254149485578778922e+01
1.890000000000000000e+02,4.284871639131952037e+01
1.900000000000000000e+02,4.267293918605014369e+01
1.910000000000000000e+02,4.165730971992142884e+01
1.920000000000000000e+02,3.944231853133479859e+01
1.930000000000000000e+02,3.725889132195570852e+01
1.940000000000000000e+02,3.596127756126709585e+01
1.950000000000000000e+02,3.576211324986889650e+01
1.960000000000000000e+02,3.700072541102352375e+01
1.970000000000000000e+02,3.973349358393701891e+01
1.980000000000000000e+02,4.336919142036166619e+01
1.990000000000000000e+02,4.626177881209868303e+01
2.000000000000000000e+02,4.651749873424444104e+01
2.010000000000000000e+02,4.550655218300872917e+01
2.020000000000000000e+02,4.501660544687772614e+01
2.030000000000000000e+02,4.946269027632782667e+01
2.040000000000000000e+02,6.306936671972759001e+01
2.050000000000000000e+02,8.882023577713133022e+01
2.060000000000000000e+02,1.275344238604669158e+02
2.070000000000000000e+02,1.756223918343267201e+02
2.080000000000000000e+02,2.250067194740629475e+02
2.090000000000000000e+02,2.692976030680045483e+02
2.100000000000000000e+02,2.880568106066127712e+02
2.110000000000000000e+02,2.575545584048732621e+02
2.120000000000000000e+02,2.003943217762102051e+02
2.130000000000000000e+02,1.431397282353497928e+02
2.140000000000000000e+02,9.847603047957642275e+01
2.150000000000000000e+02,7.022593850892856437e+01
2.160000000000000000e+02,6.064419096134142961e+01
2.170000000000000000e+02,7.059530310605047987e+01
2.180000000000000000e+02,9.966916456512539924e+01
2.190000000000000000e+02,1.452526941547656065e+02
2.200000000000000000e+02,1.996349572034425535e+02
2.210000000000000000e+02,2.451157710357518624e+02
2.220000000000000000e+02,2.572238338429368696e+02
2.230000000000000000e+02,2.346042432740459844e+02
2.240000000000000000e+02,1.933966784462847386e+02
2.250000000000000000e+02,1.566328859426633926e+02
2.260000000000000000e+02,1.372503383306887770e+02
2.270000000000000000e+02,1.375964721989403756e+02
2.280000000000000000e+02,1.518436916178704053e+02
2.290000000000000000e+02,1.661654006401992945e+02
2.300000000000000000e+02,1.619227396420614298e+02
2.310000000000000000e+02,1.373023094412332057e+02
2.320000000000000000e+02,1.052709435375201110e+02
2.330000000000000000e+02,7.612116138629274076e+01
2.340000000000000000e+02,5.468863190990220602e+01
2.350000000000000000e+02,4.222063710791334756e+01
2.360000000000000000e+02,3.803822047126681127e+01
2.370000000000000000e+02,4.057235343549476170e+01
2.380000000000000000e+02,4.771378671256439929e+01
2.390000000000000000e+02,5.671660057445294001e+01
2.400000000000000000e+02,6.291754583351263364e+01
2.410000000000000000e+02,6.169926105540502448e+01
2.420000000000000000e+02,5.753784757122698323e+01
2.430000000000000000e+02,5.428270298039954866e+01
2.440000000000000000e+02,5.260173373352233739e+01
2.450000000000000000e+02,5.087406130735080723e+01
2.460000000000000000e+02,4.796474934685777214e+01
2.470000000000000000e+02,4.573810640472321865e+01
2.480000000000000000e+02,4.504606634452134273e+01
2.490000000000000000e+02,4.477727137756792075e+01
2.500000000000000000e+02,4.299340468744633625e+01
2.510000000000000000e+02,4.066384389363167884e+01
2.520000000000000000e+02,3.907006398133746927e+01
2.530000000000000000e+02,3.808813179698933027e+01
2.540000000000000000e+02,3.700095091138020109e+01
2.550000000000000000e+02,3.735059035979438136e+01
2.560000000000000000e+02,4.030880670148926015e+01
2.570000000000000000e+02,4.583027756674591302e+01
2.580000000000000000e+02,5.239124372802659479e+01
2.590000000000000000e+02,5.634531338706263170e+01
2.600000000000000000e+02,5.341530270463801600e+01
2.610000000000000000e+02,4.588756373270107503e+01
2.620000000000000000e+02,3.761751635964518670e+01
2.630000000000000000e+02,3.066846226611147586e+01
2.640000000000000000e+02,2.564923849208321371e+01
2.650000000000000000e+02,2.243146244669981826e+01
2.660000000000000000e+02,2.060236099483525152e+01
2.670000000000000000e+02,1.971543014306192276e+01
2.680000000000000000e+02,1.940575467694209877e+01
2.690000000000000000e+02,1.942505580994594183e+01
2.700000000000000000e+02,1.963495666428749686e+01
2.710000000000000000e+02,1.998133987516651899e+01
2.720000000000000000e+02,2.046025781226908791e+01
2.730000000000000000e+02,2.107706438768954982e+01
