X,Y
1.000000000000000000e+00,-8.081625405631749359e-01
2.000000000000000000e+00,-6.603259169718969090e-01
3.000000000000000000e+00,-5.078362274606300630e-01
4.000000000000000000e+00,-3.506606371533154132e-01
5.000000000000000000e+00,-1.887688514645020632e-01
6.000000000000000000e+00,-2.213331557529940596e-02
7.000000000000000000e+00,1.492705771543754167e-01
8.000000000000000000e+00,3.254642672011529569e-01
9.000000000000000000e+00,5.064657996765440373e-01
1.000000000000000000e+01,6.922895878293449101e-01
1.100000000000000000e+01,8.829461721690341491e-01
1.200000000000000000e+01,1.078441976501046007e+00
1.300000000000000000e+01,1.278779061719454546e+00
1.400000000000000000e+01,1.483954868273112737e+00
1.500000000000000000e+01,1.693961932019164784e+00
1.600000000000000000e+01,1.908787591420234797e+00
1.700000000000000000e+01,2.128413697703846807e+00
1.800000000000000000e+01,2.352816326358213139e+00
1.900000000000000000e+01,2.581965485888949807e+00
2.000000000000000000e+01,2.815824830879579466e+00
2.100000000000000000e+01,3.054351384368544586e+00
2.200000000000000000e+01,3.297495271285987961e+00
2.300000000000000000e+01,3.545199464612332818e+00
2.400000000000000000e+01,3.797399545975545188e+00
2.500000000000000000e+01,4.054023482466091011e+00
2.600000000000000000e+01,4.314991421506358726e+00
2.700000000000000000e+01,4.580215505676950905e+00
2.800000000000000000e+01,4.849599709394877500e+00
2.900000000000000000e+01,5.123039697744818710e+00
3.000000000000000000e+01,5.400422706791383476e+00
3.100000000000000000e+01,5.681627450302277893e+00
3.200000000000000000e+01,5.966524056845040391e+00
3.300000000000000000e+01,6.254974039489987092e+00
3.400000000000000000e+01,6.546830297037553592e+00
3.500000000000000000e+01,6.841937143681898092e+00
3.600000000000000000e+01,7.140130375167125898e+00
3.700000000000000000e+01,7.441237377491916938e+00
3.800000000000000000e+01,7.745077280976983225e+00
3.900000000000000000e+01,8.051461162454133458e+00
4.000000000000000000e+01,8.360192298422326473e+00
4.100000000000000000e+01,8.671066472102367584e+00
4.200000000000000000e+01,8.983872337410822695e+00
4.300000000000000000e+01,9.298391842965315846e+00
4.400000000000000000e+01,9.614400719324704525e+00
4.500000000000000000e+01,9.931669032762798111e+00
4.600000000000000000e+01,1.024996180897069564e+01
4.700000000000000000e+01,1.056903973018008180e+01
4.800000000000000000e+01,1.088865990902362668e+01
4.900000000000000000e+01,1.120857673590431602e+01
